text	sentiment
Euronext raises its bid for Norway's national stock exchange to $790 million to beat Nasdaq https://t.co/GHNlvwWkBu	1
Euronext hikes bid for Norway's Oslo Bors to thwart Nasdaq offer https://t.co/WrKkg51mnX https://t.co/kl78GtLCyy	-1
Cryptocurrency exchanges that want to use Nasdaq’s proprietary surveillance technology need to have more than money. via @Forbes https://t.co/VoLHFZgKYm"	1
The Nasdaq-100 $QQQ could be forming a head-and-shoulders top.  See the chart and post from @KimbleCharting: https://t.co/r9WejjoHII https://t.co/82uKIN7nRJ	1
Euronext ups offer for Oslo Bors in bid to fend off Nasdaq https://t.co/I3aNFQbZhW	1
It’s an honor to call East West Bank a Nasdaq-listed company for 20 years! $EWBC is a premier bank focused exclusively on the United States and Greater China market. https://t.co/8y3yz76vDG	1
TODAY WAS SO GOOD. I’m still on a high. I’m sure I’m going to cry now that I’m home. Just feels different to see it this big in Times Sq. #nasdaq https://t.co/ESXTfBfVwk	1
HEY !!! You Lookin’ For Me !? Here I am @nasdaq on TDAMERITRADE NETWORK!  @TDANetwork https://t.co/guWz85dZ2t ... I’m on 9 &amp; 10 am et, 3 &amp; 4 pm et... and some big news coming https://t.co/62G0IcdzNx	1
So far, 7 cryptocurrency exchanges have passed Nasdaq's rigorous vetting process: https://t.co/L5RWYfgHK9 by @DelRayMan https://t.co/a4jrHE3tFr	1
Nasdaq 100 has rallied 19% since Christmas Eve, recouping all of its December losses, back above its 200-day moving avg. $QQQ https://t.co/tMseP5uK9Y	1
Hey, Tomorrow 345pm I’m gonna be featuring some of my photos on the Nasdaq Times sq billboard!	1
.@RAVIEB on the @Nasdaq billboard.   Hollywood in 2019. 😭❤️👏🏼🏆 https://t.co/lW7x76HCcE	1
Stocks fell on Thursday as investors worried that the United States and China would not be able to reach a trade deal before a March 2 deadline.   The Dow fell 221 points, or 0.9%. The S&amp;P 500 fell 0.9% and the Nasdaq was down 1.2%. https://t.co/4N3FDdAU3F	-1
US markets all opened sharply lower Thursday. The Dow fell 165 points, or 0.7%. The S&amp;P 500 was down 0.7%, while the Nasdaq dropped 0.9%. Watch live https://t.co/u5W17gUwqt	-1
#MarketWrap Major indexes close higher as tech continues gains, investors optimistic on Fed after Powell's dinner with Pres. Trump Monday.  DOW +0.68%, NASDAQ +0.74%, S&amp;P 500 +0.47%  Major indexes hit two-month highs ahead of SOTU, POTUS expected to highlight economy in speech.	1
The Dow turns negative in morning trade as declines in Disney and UnitedHealth drag it down https://t.co/LchjPRu92F https://t.co/p6zOJVzOiV	-1
Dow futures higher | US-China negotiations resume | Border deal talks collapse https://t.co/CNACiaCtvw	1
Dow futures point to a lower open as trade, political concerns linger https://t.co/nmbTumDSwe	-1
Monsanto profits from cancer-causing RoundUp Dow Chemical profits from cancer-causing Teflon Johnson &amp; Johnson profits from cancer-causing baby powder w/ asbestos  On this #WorldCancerDay remember that Corporations make money giving us cancer.	1
While approval ratings capture the wisdom of crowds, the Dow provides a measure of how the economy is doing under President Trump.  2018 for the Dow? Not great. It saw a 5.6% decline – the worst since 2008 https://t.co/dY9WZKsmNI https://t.co/kthWfVyIHU	-1
Disney and UnitedHealth play outsize roles as Dow turns negative https://t.co/NjQ3uyzi65	-1
January's stock market gains were the greatest ever for a January in the more than 100 years of the DOW.  https://t.co/rFmRdw9IVX	1
Trump's ag secretary just appointed two new corporate flacks: Scott Hutchins, who directed pesticide R&D for Dow AgroSciences, and Mindy Brashears, a professor who has earned $320k from consulting and research for the meat industry over the last 6 years. https://t.co/ALXj6dXoYI	1
VICTORY! @DowJones Sustainability Index just removed @GAR_Sinarmas — a massive #palmoil company — from its list of sustainable companies.  “Companies that have caused widespread environmental destruction have no place being greenwashed as sustainable.”  https://t.co/VupySEnsKv	1
@kaylatausche BREAKING: Stocks extend drop, Dow off 360 points, after sources tell CNBC that Trump and Xi are 'highly unlikely' to meet before March 1. https://t.co/Z5DZFWq48L https://t.co/wQc8Bs1Cmo	-1
JUST IN: Dow plunges 300 points amid fears over Trump trade policies https://t.co/UWEm7emPw5 https://t.co/vMNky8wLGF	-1
Dow rises after strong jobs report 	1
GM to start laying off 4,000 salaried workers	-1
Uber and Lyft prices going up in NYC as new minimum wage law takes effect	-1
Apple delays update for FaceTime eavesdropping bug https://t.co/v8pShh8V88	-1
Everyone should read Bill Dudley's op-ed on the Fed balance sheet.   It's possible that the guy who used to run the OMO desk and the NY Fed knows more than you do about monetary policy. Maybe even probable.  https://t.co/uOmc6timM4	1
